name,quantity,Full URL,tcgplayer_id,Image URL,Initial Price
Secret Lair Drop: Lorwyn Lightboxes - Rainbow Foil Edition,1,"https://www.tcgplayer.com/product/618109/magic-secret-lair-drop-series-secret-lair-drop-lorwyn-lightboxes-rainbow-foil-edition",618109,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/sample/5d5f3b1697dffb3963e556f7a8285fd4.png",39.99
Secret Lair Drop: Featuring: Kevin Eastman (Colors) - Traditional Foil Edition,1,"https://www.tcgplayer.com/product/680229/magic-secret-lair-drop-series-secret-lair-drop-featuring-kevin-eastman-colors-traditional-foil-edition",680229,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/9447f10f1e95b35dc4becfcd7aa56124.png",39.99
Secret Lair Drop: Secret Lair x Fallout: Rad - Non-Foil Edition,2,"https://www.tcgplayer.com/product/673782/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-rad-non-foil-edition",673782,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/60f5437a6d7d3d6f48c1d83fa06042cd.png",29.99
Secret Lair Drop: Secret Lair x Fallout: Rad - Traditional Foil Edition,2,"https://www.tcgplayer.com/product/673785/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-rad-traditional-foil-edition",673785,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/50494eef16e581dc4001b7d9154f2877.png",39.99
Secret Lair x Sonic the Hedgehog Superdrop: Turbo Gear (Rainbow Foil),1,"https://www.tcgplayer.com/product/643596/magic-secret-lair-drop-series-secret-lair-x-sonic-the-hedgehog-superdrop-turbo-gear-rainbow-foil",643596,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/509d7f3e8f1052c93fef727b0797fb4a.png",39.99
Secret Lair Drop: Secret Lair x Fallout: Greet the Dog - Traditional Foil Edition,2,"https://www.tcgplayer.com/product/673779/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-greet-the-dog-traditional-foil-edition",673779,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/9e051dd7b421f79cc3b943878f1b4425.png",39.99
Secret Lair Drop: Secret Lair x Fallout: Welcome to New Vegas - Traditional Foil Edition,1,"https://www.tcgplayer.com/product/673787/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-welcome-to-new-vegas-traditional-foil-edition",673787,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/795ac0bcfccf5ddaa99d5be16b42d1d8.png",39.99
Secret Lair Drop: Secret Lair x Fallout: Welcome to New Vegas - Non-Foil Edition,1,"https://www.tcgplayer.com/product/673786/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-welcome-to-new-vegas-non-foil-edition",673786,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/3963f921da1b739236c299f2c31887fa.png",29.99
Secret Lair Drop: Flower Power - Non-Foil Edition,1,"https://www.tcgplayer.com/product/655935/magic-secret-lair-drop-series-secret-lair-drop-flower-power-non-foil-edition",655935,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/70dd158b41a3c1fb870a5fd23241d3d6.png",1.00
Secret Lair Drop: Festival in a Box Las Vegas 2025 - Slay the Day (Rainbow Foil),1,"https://www.tcgplayer.com/product/640242/magic-secret-lair-drop-series-secret-lair-drop-festival-in-a-box-las-vegas-2025-slay-the-day-rainbow-foil",640242,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/635fe4c5824ccb23bda65bf0c8e470c6.png",0
